source,target,weight
donald,trump,1036
house,white,918
donald,president,914
reuters,washington,896
states,united,689
said,trump,483
reuters,u,462
house,representatives,410
new,york,397
president,u,339
bill,tax,329
korea,north,328
reporters,told,314
administration,trump,297
said,statement,283
campaign,trump,264
cuts,tax,229
senate,u,221
last,week,213
house,u,213
last,year,205
counsel,special,200
department,justice,194
barack,obama,192
rate,tax,186
house,senate,185
said,would,184
national,security,184
republican,senator,173
local,state,161
reform,tax,161
barack,president,158
department,state,156
said,thursday,152
35,percent,152
puerto,rico,151
20,percent,150
secretary,state,146
next,year,146
said,wednesday,145
reuters,told,138
health,insurance,134
last,month,132
attorney,general,130
bill,would,126
official,said,125
overhaul,tax,124
harassment,sexual,124
plan,tax,123
mueller,robert,122
house,said,121
corporate,tax,118
election,presidential,117
republican,tax,115
also,said,115
court,supreme,114
republicans,senate,113
counsel,robert,113
clinton,hillary,113
misconduct,sexual,113
said,washington,111
committee,said,110
legislation,tax,110
former,president,109
president,republican,106
president,reuters,105
next,week,105
said,tuesday,104
republican,senate,104
friday,said,103
comment,declined,103
jersey,new,102
senator,u,96
majority,senate,95
campaign,presidential,95
election,trump,94
moore,roy,93
cut,tax,93
democratic,senator,93
income,tax,91
congress,u,89
monday,said,89
credit,tax,89
former,trump,88
code,tax,88
committee,intelligence,88
bill,senate,87
intelligence,u,86
2016,presidential,86
told,trump,85
officials,said,85
officials,u,84
mcconnell,mitch,83
comment,request,83
tax,u,82
leaders,republican,82
foreign,policy,81
election,u,81
leader,mitch,81
president,vice,81
2016,u,81
guilty,pleaded,80
democratic,leader,80
agencies,intelligence,79
committee,judiciary,79
house,spokeswoman,79
president,trump,77
two,years,77
paul,speaker,76
paul,ryan,76
rex,tillerson,76
economic,growth,75
chairman,committee,75
10,years,74
office,took,74
affordable,care,74
act,care,74
adviser,security,74
bob,corker,74
going,re,73
federal,government,73
sanders,sarah,72
administration,obama,71
2016,election,71
immediately,respond,71
earlier,year,71
lawmakers,republican,70
minister,prime,70
request,respond,69
said,sanders,69
sarah,spokeswoman,69
bit,ly,68
2,ly,68
manafort,paul,68
republican,u,67
attorney,u,67
n,u,67
campaign,election,66
january,office,66
human,rights,66
debt,national,65
district,u,65
campaign,manager,65
democrat,top,65
post,washington,64
homeland,security,64
reuters,york,64
office,said,64
representative,republican,64
control,republicans,64
rex,state,64
house,republicans,63
president,said,63
party,republican,63
chuck,schumer,63
conference,news,63
also,would,63
government,u,63
street,wall,63
republican,senators,63
korea,south,63
interview,said,62
bush,w,62
earlier,month,62
former,u,61
leader,majority,61
democratic,former,61
chief,staff,61
republican,said,60
called,trump,60
ryan,said,60
end,year,60
democratic,president,59
deduction,state,59
republican,trump,58
court,district,58
federal,reserve,58
rates,tax,58
korean,north,58
said,tillerson,58
mueller,team,57
bureau,investigation,57
collusion,trump,57
fellow,republicans,57
plan,would,57
said,twitter,56
meddling,russian,56
jr,trump,56
media,social,56
john,senator,56
bank,central,56
times,york,55
nancy,pelosi,55
legislative,major,55
jeff,sessions,55
ban,travel,55
deficit,federal,55
bureau,federal,54
mcconnell,said,54
interference,russian,54
presidential,u,53
fox,news,53
democratic,senate,53
campaign,former,53
alleged,russian,53
allegations,denied,53
republican,reuters,53
bill,house,53
republicans,said,52
chief,executive,52
doug,jones,52
east,middle,52
legislation,would,52
house,republican,51
flynn,michael,51
house,speaker,50
said,sources,50
individual,mandate,50
george,w,50
collins,susan,50
anonymity,condition,49
mike,president,49
mike,pence,49
bill,spending,49
letter,said,49
president,xi,49
1,n,49
gates,manafort,49
trump,wednesday,48
investigation,mueller,48
make,would,48
tank,think,48
chairman,republican,48
20,rate,48
means,ways,48
campaign,russia,47
obamacare,repeal,47
class,middle,47
breaks,tax,47
denied,trump,47
foreign,relations,47
first,trump,46
nations,united,46
allegations,sexual,46
healthcare,law,46
john,mccain,46
secretary,u,46
first,major,45
fiscal,year,45
democrats,republicans,45
trump,would,45
capitol,hill,45
one,said,45
laundering,money,45
government,shutdown,44
congressional,elections,44
property,taxes,44
appeals,court,44
office,taking,44
house,official,44
minimum,tax,44
bob,senator,44
jinping,xi,44
deal,nuclear,44
committee,means,44
house,intelligence,44
committee,finance,44
representative,u,43
also,trump,43
administration,said,43
2016,trump,43
took,trump,43
george,president,43
pass,tax,43
chuck,leader,43
alternative,minimum,43
five,years,43
25,percent,43
consumer,financial,43
government,russian,43
first,time,42
likely,would,42
allow,would,42
meeting,trump,42
said,sessions,42
election,special,42
earlier,week,42
tax,vote,42
acting,director,42
lawmakers,u,42
senate,tax,42
fusion,gps,42
fed,governor,42
20,trillion,41
democratic,u,41
said,sunday,41
american,people,41
estate,real,41
putin,vladimir,41
reuters,seen,41
2016,meddling,41
francisco,san,41
need,would,41
said,senate,41
collusion,possible,41
republicans,u,40
officials,russian,40
supreme,u,40
district,judge,40
general,jeff,40
court,federal,40
corporate,rate,40
democrats,said,40
decade,next,40
senate,vote,40
committee,national,40
child,tax,40
brady,kevin,40
local,tax,40
iran,nuclear,40
401,k,40
military,u,39
democratic,republican,39
president,vladimir,39
help,would,39
manager,paul,39
administration,officials,39
billions,dollars,38
twitter,wrote,38
allegations,misconduct,38
2016,interference,38
local,taxes,38
dollars,millions,38
enforcement,law,38
arabia,saudi,38
prosecutors,said,38
plan,trump,37
department,said,37
judiciary,senate,37
leader,republican,37
ago,years,37
last,said,37
trump,whether,37
national,u,37
congress,members,37
52-48,majority,37
committee,relations,37
trump,white,36
even,though,36
take,would,36
canada,mexico,36
comment,requests,36
president,russian,36
democratic,party,36
federal,judge,36
overhaul,u,36
corporate,income,36
businesses,pass-through,36
businesses,small,36
interest,mortgage,36
chinese,president,36
democrat,house,36
finance,senate,36
candidate,roy,36
foreign,ministry,36
candidate,senate,36
gates,rick,36
sanctions,u,36
islamic,state,36
foreign,minister,36
familiar,sources,35
made,trump,35
cut,would,35
said,schumer,35
said,source,35
monetary,policy,35
package,tax,34
american,north,34
firm,law,34
property,tax,34
said,u,34
2,rs,34
since,taking,34
department,u,34
committee,ethics,34
presidential,trump,34
estate,tax,34
hatch,orrin,34
democrats,senate,34
committees,congressional,34
senator,susan,34
financial,protection,34
foreign,senate,34
house,ways,34
said,white,34
trump,tweeted,34
require,would,33
defense,secretary,33
candidate,presidential,33
fbi,lying,33
reuters,white,33
democrat,doug,33
companies,u,33
10,percent,33
leader,nancy,33
cut,taxes,33
al,franken,33
conyers,john,33
floor,senate,33
say,would,33
percent,versus,33
deduction,tax,33
corker,said,33
familiar,source,33
court,filing,33
said,spokesman,33
thursday,trump,33
aides,trump,32
since,trump,32
associates,trump,32
treasury,u,32
fake,news,32
familiar,matter,32
government,officials,32
change,climate,32
foreign,profits,32
crisis,financial,32
chairman,house,32
hunt,witch,32
republicans,trump,31
recent,weeks,31
mick,mulvaney,31
promised,trump,31
accounts,u,31
percentage,points,31
adviser,economic,31
asked,trump,31
sweeping,tax,31
accused,trump,31
legislation,pass,31
saying,would,31
interest,rates,31
john,representative,31
fuel,renewable,31
made,public,31
aide,said,31
chief,house,31
adding,said,31
ballistic,missile,31
media,reports,31
moore,said,31
percent,said,31
janet,yellen,31
repeal,replace,31
congressional,leaders,30
adviser,campaign,30
legislative,victory,30
free,trade,30
accused,sexual,30
deduction,salt,30
federal,tax,30
candidate,republican,30
republicans,say,30
director,fbi,30
director,james,30
adviser,michael,30
attorneys,general,30
congressional,republicans,30
deputy,director,30
earlier,said,30
collusion,denied,30
congress,republicans,30
cornyn,john,30
10,million,30
percent,rate,30
payments,tax,30
fellow,trump,30
bureau,protection,30
reuters,said,30
democrat,senate,30
local,property,30
team,transition,30
house,tax,30
air,force,30
european,union,30
council,security,30
add,trillion,29
seat,senate,29
reported,times,29
21,percent,29
bill,funding,29
jeff,senator,29
flake,jeff,29
accounts,twitter,29
state,u,29
12,dec,29
accused,women,29
law,school,29
congress,said,29
panel,said,29
agency,said,29
insurance,program,29
702,section,29
expected,trump,29
fox,told,29
al,senator,29
1,million,29
bills,tax,29
top,u,29
house,officials,29
hold,republicans,29
illegal,immigrants,29
jerome,powell,29
income,taxes,29
mattis,said,29
nuclear,weapons,29
beijing,reuters,29
budget,resolution,29
environmental,protection,28
constitution,u,28
denied,russia,28
budget,office,28
expressed,opinions,28
expressed,reuters,28
income,local,28
russia,sanctions,28
issued,statement,28
department,homeland,28
court,said,28
make,sure,28
bill,reform,28
representatives,speaker,28
decision,trump,28
ipsos,reuters,28
democrat,said,28
democratic,representative,28
corporate,u,28
democratic,house,28
intelligence,senate,28
deduction,interest,28
trump,tuesday,28
bill,said,28
